Code: TATAMOTORS
Link: https://query1.finance.yahoo.com/v7/finance/options/TATAMOTORS.BO

All values in multiples of ,INR,1

BALANCE SHEETS

Date                          ,  2009-03,  2010-03,  2011-03,  2012-03,  2013-03,  2014-03,  2015-03,  2016-03,  2017-03,  2018-03,  2019-03,  2020-03,  2020-09

GrossProfit                   ,38709800000,25973300000,29834440000,30903150000,34674700000,23371150000,29757370000,29886200000,22319100000,12577000000,23646580000,35633880000

GrossProfit                   ,38709800000,25973300000,29834440000,30903150000,34674700000,23371150000,29757370000,29886200000,22319100000,12577000000,23646580000,35633880000
OtherIncome                   , 75000000,605000000,218000000,-27347000000,189000000,727000000,807000000,909000000,-2232000000,610000000,641000000,292000000
Salaries                      ,7202700000,8145540000,7243940000,7786790000,7056450000,7619170000,6433130000,7072120000,7416720000,5634000000,5692080000,6352400000
OtherExpenses                 ,21608100000,13784760000,16463500000,16989360000,19601250000,12893980000,16375240000,15430080000,14215380000,6260000000,11858500000,17151480000
Pbitda                        ,9974000000,4648000000,6345000000,-21220000000,8206000000,3585000000,7756000000,8293000000,-1545000000,1293000000,6737000000,12422000000

Pbitda                        ,9974000000,4648000000,6345000000,-21220000000,8206000000,3585000000,7756000000,8293000000,-1545000000,1293000000,6737000000,12422000000
Depreciation                  ,6488000000,5857000000,5941000000,6439000000,5353000000,5112000000,5300000000,5199000000,5815000000,5599000000,5601000000,6129000000
Pbitx                         ,3486000000,-1209000000,404000000,-27659000000,2853000000,-1527000000,2456000000,3094000000,-7360000000,-4306000000,1136000000,6293000000

Pbitx                         ,3486000000,-1209000000,404000000,-27659000000,2853000000,-1527000000,2456000000,3094000000,-7360000000,-4306000000,1136000000,6293000000
InterestExpense               ,1178000000,1375000000,1227000000,1568000000,1588000000,1712000000,1835000000,1744000000,1953000000,1877000000,1950000000,2126000000
Pbtx                          ,2308000000,-2584000000,-823000000,-29227000000,1265000000,-3239000000,621000000,1350000000,-9313000000,-6183000000,-814000000,4167000000

Pbtx                          ,2308000000,-2584000000,-823000000,-29227000000,1265000000,-3239000000,621000000,1350000000,-9313000000,-6183000000,-814000000,4167000000
Pbt                           ,2308000000,-2584000000,-823000000,-29227000000,1265000000,-3239000000,621000000,1350000000,-9313000000,-6183000000,-814000000,4167000000

Pbt                           ,2308000000,-2584000000,-823000000,-29227000000,1265000000,-3239000000,621000000,1350000000,-9313000000,-6183000000,-814000000,4167000000
